Model Suite,Model Name,Asset Class,Fund Name,Ticker,Previous Allocation,Change,Current Allocation,As of date
Income ETF,JPMorgan Multi-Asset Income 60-40 ETF Model,Cash,JPMorgan US Government MMkt Instl,IJGXX,2.00%,0.00%,2.00%,08/25/2023
Income ETF,JPMorgan Multi-Asset Income 60-40 ETF Model,Developed Markets Equity,Vanguard Intl Hi Div Yld Idx ETF,VYMI,13.00%,0.00%,13.00%,08/25/2023
Income ETF,JPMorgan Multi-Asset Income 60-40 ETF Model,Extended Credit,JPMorgan BetaBuilders $ HY Corp Bnd ETF,BBHY,0.00%,3.00%,3.00%,08/25/2023
Income ETF,JPMorgan Multi-Asset Income 60-40 ETF Model,U.S. Investment Grade,JPMorgan Core Plus Bond ETF,JCPB,18.00%,-3.00%,15.00%,08/25/2023
Income ETF,JPMorgan Multi-Asset Income 60-40 ETF Model,U.S. Investment Grade,JPMorgan BetaBuilders US Aggt Bond ETF,BBAG,9.50%,0.00%,9.50%,08/25/2023
Income ETF,JPMorgan Multi-Asset Income 60-40 ETF Model,U.S. Equity,JPMorgan BetaBuilders US Equity ETF,BBUS,4.50%,0.00%,4.50%,08/25/2023
Income ETF,JPMorgan Multi-Asset Income 60-40 ETF Model,Developed Markets Equity,JPMorgan BetaBuilders Intl Eq ETF,BBIN,10.00%,0.00%,10.00%,08/25/2023
Income ETF,JPMorgan Multi-Asset Income 60-40 ETF Model,U.S. Equity,JPMorgan Equity Premium Income ETF,JEPI,15.50%,-5.00%,10.50%,08/25/2023
Income ETF,JPMorgan Multi-Asset Income 60-40 ETF Model,Emerging Markets Equity,JPMorgan ActiveBuilders EM Eq ETF,JEMA,3.00%,0.00%,3.00%,08/25/2023
Income ETF,JPMorgan Multi-Asset Income 60-40 ETF Model,U.S. Equity,JPMorgan Active Value ETF,JAVA,12.50%,0.00%,12.50%,08/25/2023
Income ETF,JPMorgan Multi-Asset Income 60-40 ETF Model,Extended Credit,JPMorgan Income ETF,JPIE,12.00%,0.00%,12.00%,08/25/2023
Income ETF,JPMorgan Multi-Asset Income 60-40 ETF Model,<missing>,JPMorgan Nasdaq Equity Premium Inc ETF,JEPQ,0.00%,5.00%,5.00%,08/25/2023
