Model Name,Asset Class,Fund Name,Ticker,Previous Allocation,Change,Current Allocation,As of date
SS Multi-Asset Income 75-25 MF/ETF Model,U.S. Equity,SS Equity Income I,HLIEX,17.25%,0.00%,17.25%,08/25/2023
SS Multi-Asset Income 75-25 MF/ETF Model,U.S. Investment Grade,SS Core Plus Bond I,HLIPX,5.50%,-2.00%,3.50%,08/25/2023
SS Multi-Asset Income 75-25 MF/ETF Model,Cash,SS Prime Money Market Inst,JINXX,0.50%,0.00%,0.50%,08/25/2023
SS Multi-Asset Income 75-25 MF/ETF Model,Allocation,SS Income Builder I,JNBSX,5.00%,0.00%,5.00%,08/25/2023
SS Multi-Asset Income 75-25 MF/ETF Model,Developed Markets Equity,Vanguard Intl Hi Div Yld Idx ETF,VYMI,17.50%,0.00%,17.50%,08/25/2023
SS Multi-Asset Income 75-25 MF/ETF Model,Extended Credit,SS Income I,JMSIX,13.00%,0.00%,13.00%,08/25/2023
SS Multi-Asset Income 75-25 MF/ETF Model,Extended Credit,SS BetaBuilders $ HY Corp Bnd ETF,BBHY,0.00%,2.00%,2.00%,08/25/2023
SS Multi-Asset Income 75-25 MF/ETF Model,U.S. Investment Grade,SS BetaBuilders US Aggt Bond ETF,BBAG,4.00%,0.00%,4.00%,08/25/2023
SS Multi-Asset Income 75-25 MF/ETF Model,U.S. Equity,SS BetaBuilders US Equity ETF,BBUS,8.00%,0.00%,8.00%,08/25/2023
SS Multi-Asset Income 75-25 MF/ETF Model,Developed Markets Equity,SS BetaBuilders Intl Eq ETF,BBIN,11.00%,0.00%,11.00%,08/25/2023
SS Multi-Asset Income 75-25 MF/ETF Model,U.S. Equity,SS Equity Premium Income ETF,JEPI,14.50%,-5.00%,9.50%,08/25/2023
SS Multi-Asset Income 75-25 MF/ETF Model,Emerging Markets Equity,SS ActiveBuilders EM Eq ETF,JEMA,3.75%,0.00%,3.75%,08/25/2023
SS Multi-Asset Income 75-25 MF/ETF Model,U.S. Equity,SS Nasdaq Equity Premium Inc ETF,JEPQ,0.00%,5.00%,5.00%,08/25/2023
