Model Suite,Model Name,Asset Class,Fund Name,Ticker,Previous Allocation,Change,Current Allocation,As of date
Strategic ETF,JPMorgan Strategic 100-0 ETF Model,Cash,JPMorgan US Government MMkt Instl,IJGXX,2.00%,0.00%,2.00%,07/06/2023
Strategic ETF,JPMorgan Strategic 100-0 ETF Model,U.S. Equity,JPMorgan BetaBuilders US Equity ETF,BBUS,43.30%,-2.40%,40.90%,07/06/2023
Strategic ETF,JPMorgan Strategic 100-0 ETF Model,Developed Markets Equity,JPMorgan BetaBuilders Intl Eq ETF,BBIN,24.50%,0.00%,24.50%,07/06/2023
Strategic ETF,JPMorgan Strategic 100-0 ETF Model,U.S. Equity,JPMorgan BetaBuilders US Mid Cap Eq ETF,BBMC,6.90%,0.00%,6.90%,07/06/2023
Strategic ETF,JPMorgan Strategic 100-0 ETF Model,U.S. Equity,JPMorgan BetaBuilders US Sml Cp Eq ETF,BBSC,3.40%,0.00%,3.40%,07/06/2023
Strategic ETF,JPMorgan Strategic 100-0 ETF Model,Emerging Markets Equity,JPMorgan ActiveBuilders EM Eq ETF,JEMA,4.90%,0.00%,4.90%,07/06/2023
Strategic ETF,JPMorgan Strategic 100-0 ETF Model,U.S. Equity,JPMorgan Active Value ETF,JAVA,0.00%,8.70%,8.70%,07/06/2023
Strategic ETF,JPMorgan Strategic 100-0 ETF Model,U.S. Equity,JPMorgan Active Growth ETF,JGRO,0.00%,8.70%,8.70%,07/06/2023
Strategic ETF,JPMorgan Strategic 100-0 ETF Model,U.S. Equity,JPMorgan US Value Factor ETF,JVAL,5.00%,-5.00%,0.00%,07/06/2023
Strategic ETF,JPMorgan Strategic 100-0 ETF Model,U.S. Equity,JPMorgan US Momentum Factor ETF,JMOM,5.00%,-5.00%,0.00%,07/06/2023
Strategic ETF,JPMorgan Strategic 100-0 ETF Model,U.S. Equity,JPMorgan US Quality Factor ETF,JQUA,5.00%,-5.00%,0.00%,07/06/2023
Strategic ETF,JPMorgan Strategic 20-80 ETF Model,Cash,JPMorgan US Government MMkt Instl,IJGXX,2.00%,0.00%,2.00%,07/06/2023
Strategic ETF,JPMorgan Strategic 20-80 ETF Model,U.S. Investment Grade,JPMorgan Core Plus Bond ETF,JCPB,26.50%,0.40%,26.90%,07/06/2023
Strategic ETF,JPMorgan Strategic 20-80 ETF Model,U.S. Investment Grade,JPMorgan BetaBuilders US Aggt Bond ETF,BBAG,51.50%,0.60%,52.10%,07/06/2023
Strategic ETF,JPMorgan Strategic 20-80 ETF Model,U.S. Equity,JPMorgan BetaBuilders US Equity ETF,BBUS,11.90%,-4.00%,7.90%,07/06/2023
Strategic ETF,JPMorgan Strategic 20-80 ETF Model,Developed Markets Equity,JPMorgan BetaBuilders Intl Eq ETF,BBIN,5.00%,-0.30%,4.70%,07/06/2023
Strategic ETF,JPMorgan Strategic 20-80 ETF Model,U.S. Equity,JPMorgan BetaBuilders US Mid Cap Eq ETF,BBMC,1.40%,-0.10%,1.30%,07/06/2023
Strategic ETF,JPMorgan Strategic 20-80 ETF Model,U.S. Equity,JPMorgan BetaBuilders US Sml Cp Eq ETF,BBSC,0.70%,0.00%,0.70%,07/06/2023
Strategic ETF,JPMorgan Strategic 20-80 ETF Model,Emerging Markets Equity,JPMorgan ActiveBuilders EM Eq ETF,JEMA,1.00%,0.00%,1.00%,07/06/2023
Strategic ETF,JPMorgan Strategic 20-80 ETF Model,U.S. Equity,JPMorgan Active Value ETF,JAVA,0.00%,1.70%,1.70%,07/06/2023
Strategic ETF,JPMorgan Strategic 20-80 ETF Model,U.S. Equity,JPMorgan Active Growth ETF,JGRO,0.00%,1.70%,1.70%,07/06/2023
Strategic ETF,JPMorgan Strategic 40-60 ETF Model,Cash,JPMorgan US Government MMkt Instl,IJGXX,2.00%,0.00%,2.00%,07/06/2023
Strategic ETF,JPMorgan Strategic 40-60 ETF Model,U.S. Investment Grade,JPMorgan Core Plus Bond ETF,JCPB,19.70%,0.40%,20.10%,07/06/2023
Strategic ETF,JPMorgan Strategic 40-60 ETF Model,U.S. Investment Grade,JPMorgan BetaBuilders US Aggt Bond ETF,BBAG,38.30%,0.60%,38.90%,07/06/2023
Strategic ETF,JPMorgan Strategic 40-60 ETF Model,U.S. Equity,JPMorgan BetaBuilders US Equity ETF,BBUS,23.80%,-7.60%,16.20%,07/06/2023
Strategic ETF,JPMorgan Strategic 40-60 ETF Model,Developed Markets Equity,JPMorgan BetaBuilders Intl Eq ETF,BBIN,10.00%,-0.30%,9.70%,07/06/2023
Strategic ETF,JPMorgan Strategic 40-60 ETF Model,U.S. Equity,JPMorgan BetaBuilders US Mid Cap Eq ETF,BBMC,2.80%,-0.10%,2.70%,07/06/2023
Strategic ETF,JPMorgan Strategic 40-60 ETF Model,U.S. Equity,JPMorgan BetaBuilders US Sml Cp Eq ETF,BBSC,1.40%,0.00%,1.40%,07/06/2023
Strategic ETF,JPMorgan Strategic 40-60 ETF Model,Emerging Markets Equity,JPMorgan ActiveBuilders EM Eq ETF,JEMA,2.00%,0.00%,2.00%,07/06/2023
Strategic ETF,JPMorgan Strategic 40-60 ETF Model,U.S. Equity,JPMorgan Active Value ETF,JAVA,0.00%,3.50%,3.50%,07/06/2023
Strategic ETF,JPMorgan Strategic 40-60 ETF Model,U.S. Equity,JPMorgan Active Growth ETF,JGRO,0.00%,3.50%,3.50%,07/06/2023
Strategic ETF,JPMorgan Strategic 60-40 ETF Model,Cash,JPMorgan US Government MMkt Instl,IJGXX,2.00%,0.00%,2.00%,07/06/2023
Strategic ETF,JPMorgan Strategic 60-40 ETF Model,U.S. Investment Grade,JPMorgan Core Plus Bond ETF,JCPB,12.90%,0.40%,13.30%,07/06/2023
Strategic ETF,JPMorgan Strategic 60-40 ETF Model,U.S. Investment Grade,JPMorgan BetaBuilders US Aggt Bond ETF,BBAG,25.10%,0.60%,25.70%,07/06/2023
Strategic ETF,JPMorgan Strategic 60-40 ETF Model,U.S. Equity,JPMorgan BetaBuilders US Equity ETF,BBUS,26.70%,-2.20%,24.50%,07/06/2023
Strategic ETF,JPMorgan Strategic 60-40 ETF Model,Developed Markets Equity,JPMorgan BetaBuilders Intl Eq ETF,BBIN,15.00%,-0.30%,14.70%,07/06/2023
Strategic ETF,JPMorgan Strategic 60-40 ETF Model,U.S. Equity,JPMorgan BetaBuilders US Mid Cap Eq ETF,BBMC,4.20%,-0.10%,4.10%,07/06/2023
Strategic ETF,JPMorgan Strategic 60-40 ETF Model,U.S. Equity,JPMorgan BetaBuilders US Sml Cp Eq ETF,BBSC,2.10%,0.00%,2.10%,07/06/2023
Strategic ETF,JPMorgan Strategic 60-40 ETF Model,Emerging Markets Equity,JPMorgan ActiveBuilders EM Eq ETF,JEMA,3.00%,0.00%,3.00%,07/06/2023
Strategic ETF,JPMorgan Strategic 60-40 ETF Model,U.S. Equity,JPMorgan Active Value ETF,JAVA,0.00%,5.30%,5.30%,07/06/2023
Strategic ETF,JPMorgan Strategic 60-40 ETF Model,U.S. Equity,JPMorgan Active Growth ETF,JGRO,0.00%,5.30%,5.30%,07/06/2023
Strategic ETF,JPMorgan Strategic 60-40 ETF Model,U.S. Equity,JPMorgan US Value Factor ETF,JVAL,3.00%,-3.00%,0.00%,07/06/2023
Strategic ETF,JPMorgan Strategic 60-40 ETF Model,U.S. Equity,JPMorgan US Momentum Factor ETF,JMOM,3.00%,-3.00%,0.00%,07/06/2023
Strategic ETF,JPMorgan Strategic 60-40 ETF Model,U.S. Equity,JPMorgan US Quality Factor ETF,JQUA,3.00%,-3.00%,0.00%,07/06/2023
Strategic ETF,JPMorgan Strategic 75-25 ETF Model,Cash,JPMorgan US Government MMkt Instl,IJGXX,2.00%,0.00%,2.00%,07/06/2023
Strategic ETF,JPMorgan Strategic 75-25 ETF Model,U.S. Investment Grade,JPMorgan Core Plus Bond ETF,JCPB,7.80%,0.40%,8.20%,07/06/2023
Strategic ETF,JPMorgan Strategic 75-25 ETF Model,U.S. Investment Grade,JPMorgan BetaBuilders US Aggt Bond ETF,BBAG,15.20%,0.60%,15.80%,07/06/2023
Strategic ETF,JPMorgan Strategic 75-25 ETF Model,U.S. Equity,JPMorgan BetaBuilders US Equity ETF,BBUS,32.60%,-1.80%,30.80%,07/06/2023
Strategic ETF,JPMorgan Strategic 75-25 ETF Model,Developed Markets Equity,JPMorgan BetaBuilders Intl Eq ETF,BBIN,18.70%,-0.20%,18.50%,07/06/2023
Strategic ETF,JPMorgan Strategic 75-25 ETF Model,U.S. Equity,JPMorgan BetaBuilders US Mid Cap Eq ETF,BBMC,5.30%,-0.10%,5.20%,07/06/2023
Strategic ETF,JPMorgan Strategic 75-25 ETF Model,U.S. Equity,JPMorgan BetaBuilders US Sml Cp Eq ETF,BBSC,2.60%,0.00%,2.60%,07/06/2023
Strategic ETF,JPMorgan Strategic 75-25 ETF Model,Emerging Markets Equity,JPMorgan ActiveBuilders EM Eq ETF,JEMA,3.80%,-0.10%,3.70%,07/06/2023
Strategic ETF,JPMorgan Strategic 75-25 ETF Model,U.S. Equity,JPMorgan Active Value ETF,JAVA,0.00%,6.60%,6.60%,07/06/2023
Strategic ETF,JPMorgan Strategic 75-25 ETF Model,U.S. Equity,JPMorgan Active Growth ETF,JGRO,0.00%,6.60%,6.60%,07/06/2023
Strategic ETF,JPMorgan Strategic 75-25 ETF Model,U.S. Equity,JPMorgan US Value Factor ETF,JVAL,4.00%,-4.00%,0.00%,07/06/2023
