Model Name,Asset Class,Fund Name,Ticker,Previous Allocation,Change,Current Allocation,As of date
SS Multi-Asset Income 60-40 Model,U.S. Equity,SS Equity Income I,HLIEX,13.75%,0.00%,13.75%,08/25/2023
SS Multi-Asset Income 60-40 Model,U.S. Equity,SS Equity Index I,HLEIX,5.50%,0.00%,5.50%,08/25/2023
SS Multi-Asset Income 60-40 Model,Extended Credit,SS High Yield I,OHYFX,0.00%,3.00%,3.00%,08/25/2023
SS Multi-Asset Income 60-40 Model,U.S. Investment Grade,SS Core Plus Bond I,HLIPX,18.00%,-3.00%,15.00%,08/25/2023
SS Multi-Asset Income 60-40 Model,U.S. Investment Grade,SS Core Bond I,WOBDX,6.00%,0.00%,6.00%,08/25/2023
SS Multi-Asset Income 60-40 Model,Cash,SS Prime Money Market Inst,JINXX,2.00%,0.00%,2.00%,08/25/2023
SS Multi-Asset Income 60-40 Model,Allocation,SS Income Builder I,JNBSX,5.00%,0.00%,5.00%,08/25/2023
SS Multi-Asset Income 60-40 Model,Extended Credit,SS Income I,JMSIX,14.00%,0.00%,14.00%,08/25/2023
SS Multi-Asset Income 60-40 Model,U.S. Equity,SS Equity Premium Income I,JEPIX,13.00%,0.00%,13.00%,08/25/2023
SS Multi-Asset Income 60-40 Model,Emerging Markets Equity,SS Emerging Mkts Rsrch Enh Eq I,EMREX,5.00%,0.00%,5.00%,08/25/2023
SS Multi-Asset Income 60-40 Model,Developed Markets Equity,SS International Rsrch Enh Eq ETF,JIRE,17.75%,0.00%,17.75%,08/25/2023
