Model Suite,Model Name,Asset Class,Fund Name,Ticker,Previous Allocation,Change,Current Allocation,As of date
Income MF/ETF,JPMorgan Multi-Asset Income 35-65 MF/ETF Model,U.S. Equity,JPMorgan Equity Income I,HLIEX,4.00%,0.00%,4.00%,08/25/2023
Income MF/ETF,JPMorgan Multi-Asset Income 35-65 MF/ETF Model,U.S. Investment Grade,JPMorgan Core Plus Bond I,HLIPX,27.50%,-4.00%,23.50%,08/25/2023
Income MF/ETF,JPMorgan Multi-Asset Income 35-65 MF/ETF Model,U.S. Investment Grade,JPMorgan Core Bond I,WOBDX,7.00%,0.00%,7.00%,08/25/2023
Income MF/ETF,JPMorgan Multi-Asset Income 35-65 MF/ETF Model,Cash,JPMorgan Prime Money Market Inst,JINXX,0.50%,0.00%,0.50%,08/25/2023
Income MF/ETF,JPMorgan Multi-Asset Income 35-65 MF/ETF Model,Allocation,JPMorgan Income Builder I,JNBSX,5.00%,0.00%,5.00%,08/25/2023
Income MF/ETF,JPMorgan Multi-Asset Income 35-65 MF/ETF Model,Developed Markets Equity,Vanguard Intl Hi Div Yld Idx ETF,VYMI,6.25%,0.00%,6.25%,08/25/2023
Income MF/ETF,JPMorgan Multi-Asset Income 35-65 MF/ETF Model,Extended Credit,JPMorgan Income I,JMSIX,15.00%,0.00%,15.00%,08/25/2023
Income MF/ETF,JPMorgan Multi-Asset Income 35-65 MF/ETF Model,Extended Credit,JPMorgan BetaBuilders $ HY Corp Bnd ETF,BBHY,0.00%,4.00%,4.00%,08/25/2023
Income MF/ETF,JPMorgan Multi-Asset Income 35-65 MF/ETF Model,U.S. Investment Grade,JPMorgan BetaBuilders US Aggt Bond ETF,BBAG,12.00%,0.00%,12.00%,08/25/2023
Income MF/ETF,JPMorgan Multi-Asset Income 35-65 MF/ETF Model,U.S. Equity,JPMorgan BetaBuilders US Equity ETF,BBUS,3.00%,0.00%,3.00%,08/25/2023
Income MF/ETF,JPMorgan Multi-Asset Income 35-65 MF/ETF Model,Developed Markets Equity,JPMorgan BetaBuilders Intl Eq ETF,BBIN,5.25%,0.00%,5.25%,08/25/2023
Income MF/ETF,JPMorgan Multi-Asset Income 35-65 MF/ETF Model,U.S. Equity,JPMorgan Equity Premium Income ETF,JEPI,12.75%,-3.00%,9.75%,08/25/2023
Income MF/ETF,JPMorgan Multi-Asset Income 35-65 MF/ETF Model,Emerging Markets Equity,JPMorgan ActiveBuilders EM Eq ETF,JEMA,1.75%,0.00%,1.75%,08/25/2023
